generation,engine,start_of_production,body_type,acceleration_0-62mph,maximum_speed,power_per_litre,engine_displacement,cylinder_bore,piston_stroke,kerb_weight,fuel_tank_capacity,length,width,height,wheelbase,drive_wheel,compression_ratio,engine_oil_capacity,front_track,rear_track,drag_coefficient,WeighttoPower_kgperhp,WeighttoPower_hppertonne,weighttotorque_kgpernm,weighttotorque_nmpertonne,Power_HP,Power_RPM,torque_NM,torque_RPM
911 (964),Turbo 3.6 (360 Hp),1993,Coupe,4.8,280,100,3600,100,76.4,,77,4275,1775,1290,2270,Rear wheel drive,7.5,13,1440,1490,,,,,,360,5500,520,4200
911 (964),Turbo 3.3 (320 Hp),1990,Coupe,5,270,97,3299,97,74.4,1470,77,4250,1775,1310,2270,Rear wheel drive,7,10,1434,1493,,4.6,217.7,3.3,306.1,320,5750,450,4500
911 (964),Carrera RS 3.6 (260 Hp),1991,Coupe,5.4,260,72.2,3600,100,76.4,1240,77,4250,1650,1310,2270,Rear wheel drive,11.3,11.5,1380,1374,,4.8,209.7,3.9,253.2,260,6100,314,5600
911 (964),Carrera 4 3.6 (250 Hp),1989,Coupe,5.7,260,69.4,3600,100,76.4,1450,77,4250,1652,1310,2270,All wheel drive (4x4),11.3,11.5,1380,1374,,5.8,172.4,4.7,213.8,250,6100,310,4800
911 (964),Carrera 2 3.6 (250 Hp) Tiptronic,1989,Coupe,6.6,256,69.4,3600,100,76.4,1380,77,4250,1652,1310,2272,Rear wheel drive,11.3,11.5,1380,1374,,5.5,181.2,4.5,224.6,250,6100,310,4800
911 (964),Carrera 2 3.6 (250 Hp),1989,Coupe,5.7,260,69.4,3600,100,76.4,1350,77,4250,1652,1310,2272,Rear wheel drive,11.3,11.5,1380,1374,,5.4,185.2,4.4,229.6,250,6100,310,4800
911 Speedster,3.6 (250 Hp) Tiptronic,1989,Cabriolet,5.7,260,69.4,3600,100,76.4,1350,77,4250,1652,1280,2272,Rear wheel drive,11.3,11.5,1374,1374,,5.4,185.2,4.4,229.6,250,6100,310,4800
911 Speedster,3.6 (250 Hp),1989,Cabriolet,5.7,260,69.4,3600,100,76.4,1350,77,4250,1652,1280,2272,Rear wheel drive,11.3,11.5,1374,1374,,5.4,185.2,4.4,229.6,250,6100,310,4800
911 Cabriolet (Type 930),3.3 Turbo (300 Hp),1987,Cabriolet,5.4,260,90.9,3299,97,74.4,,80.5,4291,1775,1310,2272,Rear wheel drive,7,13,1432,1492,,,,,,300,5500,430,4000
911 Targa (Type 930),3.3 Turbo (300 Hp),1987,Targa,5.2,260,90.9,3299,97,74.4,,80.5,4291,1775,1310,2272,Rear wheel drive,7,13,1432,1492,,,,,,300,5500,430,4000
911 Cabriolet (G),3.2 Carrera (231 Hp),1986,Cabriolet,6.1,245,73,3164,95,74.4,,85,4291,1652,1320,2272,Rear wheel drive,10.3,10,1372,1405,0.39,,,,,231,5900,284,4800
911 Cabriolet (G),3.2 Carrera CAT (218 Hp),1986,Cabriolet,,240,68.9,3164,,,1250,85,4291,1652,1320,2272,Rear wheel drive,9.5,10,,,0.39,5.7,174.4,4.7,211.2,218,5900,264,4800
911 Cabriolet (G),3.2 Carrera CAT (207 Hp),1984,Cabriolet,6.5,235,65.4,3164,95,74.4,1250,85,4291,1652,1320,2272,Rear wheel drive,9.5,13,1372,1380,,3,165.6,4.8,209.6,207,5900,262,4800
911 Cabriolet (G),3.0 SC (204 Hp),1982,Cabriolet,,,68.1,2994,95,70.4,,80,4291,1652,1320,2272,Rear wheel drive,9.8,10,1369,1379,,,,,,204,5900,267,4300
911 Coupe (Type 930),3.3 Turbo S (330 Hp),1984,Coupe,,270,100.1,3297,97,74.4,1335,85,4291,1775,1280,2272,Rear wheel drive,,10,1423,1492,,3,247.2,2.9,349.8,330,5750,467,4500
911 Coupe (Type 930),3.3 Turbo (301 Hp),1978,Coupe,5.4,260,91.2,3299,97,74.4,1300,80,4291,1775,1310,2272,Rear wheel drive,7,13,1432,1501,,4.3,231.5,3.2,316.9,301,5500,412,4000
911 Coupe (Type 930),3.3 Turbo (300 Hp) 5MT,1987,Coupe,5.2,260,90.9,3299,97,74.4,1335,80.5,4291,1775,1310,2272,Rear wheel drive,7,13,1432,1492,,4.5,224.7,3.1,322.1,300,5500,430,4000
