generation,engine,start_of_production,body_type,acceleration_0-62mph,maximum_speed,power_per_litre,engine_displacement,cylinder_bore,piston_stroke,kerb_weight,fuel_tank_capacity,length,width,height,wheelbase,drive_wheel,compression_ratio,engine_oil_capacity,front_track,rear_track,drag_coefficient,WeighttoPower_kgperhp,WeighttoPower_hppertonne,weighttotorque_kgpernm,weighttotorque_nmpertonne,Power_HP,Power_RPM,torque_NM,torque_RPM
911 Cabriolet (992),Carrera GTS 3.0 (480 Hp),2021,Cabriolet,4.3,309,161,2981,91,76.4,1580,64,4533,1852,1302,2450,Rear wheel drive,,8,,,0.31,3.3,303.8,2.8,360.8,480,6500,570,3650
911 Cabriolet (992),Carrera 4 GTS 3.0 (480 Hp) PDK,2021,Cabriolet,3.5,307,161,2981,91,76.4,1665,67,4533,1852,1300,2450,All wheel drive (4x4),,8,,,0.31,3.5,288.3,2.9,342.3,480,6500,570,3650
911 Cabriolet (992),Carrera 4 GTS 3.0 (480 Hp),2021,Cabriolet,4.3,307,161,2981,91,76.4,1630,67,4533,1852,1302,2450,All wheel drive (4x4),,8,,,0.31,3.4,294.5,2.9,349.7,480,6500,570,3650
911 Cabriolet (992),Carrera S 3.0 (450 Hp) PDK,2019,Cabriolet,3.7,306,151,2981,91,76.4,1585,64,4519,1852,1299,2450,Rear wheel drive,10.2,8,1589,1557,0.3,3.5,283.9,3,334.4,450,6500,530,3650
911 Cabriolet (992),Carrera 4S 3.0 (450 Hp) PDK,2019,Cabriolet,3.6,304,151,2981,91,76.4,1635,67,4519,1852,1299,2450,All wheel drive (4x4),10.2,8,1589,1557,,3.6,275.2,3.1,324.2,450,6500,530,3650
911 Cabriolet (992),Carrera 4 3.0 (385 Hp) PDK,2019,Cabriolet,4.4,289,129.2,2981,91,76.4,1625,67,4519,1852,1297,2450,All wheel drive (4x4),10.2,8.3,1591,1557,0.29,4.2,236.9,3.6,276.9,385,6500,450,3475
911 Cabriolet (992),Carrera 3.0 (385 Hp) PDK,2019,Cabriolet,4.4,291,129.2,2981,91,76.4,1575,64,4519,1852,1297,2450,Rear wheel drive,,8.3,1591,1557,0.29,4.1,244.4,3.5,285.7,385,6500,450,3475
911 (992),Turbo S 3.8 (650 Hp) PDK,2020,Coupe,2.7,330,173.6,3745,102,76.4,1640,67,4535,1900,1303,2450,All wheel drive (4x4),,8.3,1583,1600,0.33,2.5,396.3,2.1,487.8,650,6750,800,3250
911 (992),Turbo 3.8 (580 Hp) PDK,2020,Coupe,2.8,320,154.9,3745,102,76.4,1640,67,4535,1900,1303,2450,All wheel drive (4x4),8.7,8.3,1583,1600,0.33,2.8,353.7,2.2,457.3,580,6500,750,3375
911 (992),Sport Classic 3.7 (550 Hp),2022,Coupe,4.1,315,146.9,3745,102,76.4,1570,67,4535,1900,1299,2450,Rear wheel drive,8.7,,1577,1594,0.35,2.9,350.3,2.6,382.2,550,6750,600,4000
911 (992),S/T 4.0 (525 Hp),2023,Coupe,3.7,300,131.4,3996,102,81.5,1380,64,4573,1852,1279,2457,Rear wheel drive,,,,,,2.6,380.4,3,337,525,8500,465,3650
911 (992),GT3 RS 4.0 (525 Hp) PDK,2022,Coupe,3.2,296,131.4,3996,102,81.5,1450,64,4572,1900,1322,2457,Rear wheel drive,,,,,0.39,2.8,362.1,3.1,320.7,525,8500,465,6300
911 (992),GT3 4.0 (510 Hp) PDK,2021,Coupe,3.4,318,127.6,3996,102,81.5,1435,64,4573,1852,1279,2457,Rear wheel drive,13.3,,1601,1553,0.34,2.8,355.4,3.1,327.5,510,8400,470,6100
911 (992),GT3 4.0 (510 Hp),2021,Coupe,3.9,320,127.6,3996,102,81.5,1418,64,4573,1852,1279,2457,Rear wheel drive,13.3,,1601,1553,0.34,2.8,359.7,3,331.5,510,8400,470,6100
911 (992),Carrera GTS 3.0 (480 Hp) PDK,2021,Coupe,3.4,311,161,2981,91,76.4,1545,64,4533,1852,1301,2450,Rear wheel drive,,8,,,0.31,3.2,310.7,2.7,368.9,480,6500,570,3650
911 (992),Carrera GTS 3.0 (480 Hp),2021,Coupe,4.1,311,161,2981,91,76.4,1510,64,4533,1852,1303,2450,Rear wheel drive,,8,,,0.31,3.1,317.9,2.6,377.5,480,6500,570,3650
911 (992),Carrera 4 GTS 3.0 (480 Hp) PDK,2021,Coupe,3.3,309,161,2981,91,76.4,1595,67,4533,1852,1301,2450,All wheel drive (4x4),,8,,,0.31,3.3,300.9,2.8,357.4,480,6500,570,3650
911 (992),Carrera 4 GTS 3.0 (480 Hp),2021,Coupe,4.1,309,161,2981,91,76.4,1560,67,4533,1852,1303,2450,All wheel drive (4x4),,8,,,0.31,3.3,307.7,2.7,365.4,480,6500,570,3650
911 (992),Carrera S 3.0 (450 Hp) PDK,2018,Coupe,3.7,308,151,2981,91,76.4,1515,64,4519,1852,1300,2450,Rear wheel drive,10.2,8,1589,1557,0.29,3.4,297,2.9,349.8,450,6500,530,3650
911 (992),Carrera 4S 3.0 (450 Hp) PDK,2018,Coupe,3.6,306,151,2981,91,76.4,1565,67,4519,1852,1300,2450,All wheel drive (4x4),10.2,8,1589,1557,0.29,3.5,287.5,3,338.7,450,6500,530,3650
911 (992),Carrera T 3.0 (385 Hp) PDK,2022,Coupe,4,291,129.2,2981,91,76.4,1505,64,4530,1852,1291,2450,Rear wheel drive,,8.3,,,0.3,3.9,255.8,3.3,299,385,6500,450,3475
911 (992),Carrera T 3.0 (385 Hp),2022,Coupe,4.5,291,129.2,2981,91,76.4,1470,64,4530,1852,1293,2450,Rear wheel drive,,8.3,,,0.3,3.8,261.9,3.3,306.1,385,6500,450,3475
911 (992),Carrera 4 3.0 (385 Hp) PDK,2019,Coupe,4.2,291,129.2,2981,91,76.4,1555,67,4519,1852,1298,2450,All wheel drive (4x4),10.2,8.3,1591,1557,0.29,4,247.6,3.5,289.4,385,6500,450,3475
911 (992),Carrera 3.0 (385 Hp) PDK,2019,Coupe,4.0-4.2,293,129.2,2981,91,76.4,1505,64,4519,1852,1298,2450,Rear wheel drive,,8.3,1591,1557,0.29,3.9,255.8,3.3,299,385,6500,450,3475
911 RSR (991),4.0 (510 Hp) Automatic,2016,Coupe,,,,,102,81.5,1243,,4557,2042-2048,,2516,Rear wheel drive,,,,,,2.4,410.3,,,510,,,
911 Cabriolet (991 II),Turbo S 3.8 (580 Hp) PDK,2015,Cabriolet,3,330,152.6,3800,102,77.5,1670,68,4507,1880,1294,2450,All wheel drive (4x4),9.8,7.5,1541,1590,0.32,2.9,347.3,2.2,449.1,580,6750,750,3125
911 Cabriolet (991 II),Turbo 3.8 (540 Hp) PDK,2015,Cabriolet,3.1,320,142.1,3800,102,77.5,1665,68,4507,1880,1294,2450,All wheel drive (4x4),9.8,7.5,1541,1590,0.32,3.1,324.3,2.3,426.4,540,6400,710,3125
911 Cabriolet (991 II),Carrera GTS 3.0 (450 Hp) PDK,2017,Cabriolet,3.8,308,151,2981,91,76.4,1540,64,4528,1852,1291,2450,Rear wheel drive,10,8,1539,1544,0.32,3.4,292.2,2.8,357.1,450,6500,550,3575
911 Cabriolet (991 II),Carrera GTS 3.0 (450 Hp),2017,Cabriolet,4.2,310,151,2981,91,76.4,1520,64,4528,1852,1291,2450,Rear wheel drive,10,8,1539,1544,0.32,3.4,296.1,2.8,361.8,450,6500,550,3575
911 Cabriolet (991 II),Carrera 4 GTS 3.0 (450 Hp) PDK,2017,Cabriolet,3.7,306,151,2981,91,76.4,1585,67,4528,1852,1293,2450,All wheel drive (4x4),10,8,1539,1544,0.32,3.5,283.9,2.9,347,450,6500,550,3575
911 Cabriolet (991 II),Carrera 4 GTS 3.0 (450 Hp),2017,Cabriolet,4.1,308,151,2981,91,76.4,1565,67,4528,1852,1293,2450,All wheel drive (4x4),10,8,1539,1544,0.32,3.5,287.5,2.8,351.4,450,6500,550,3575
911 Cabriolet (991 II),Carrera S 3.0 (420 Hp) PDK,2015,Cabriolet,4.3,304,140.9,2981,,,1530,64,4499,1808,1291,2450,Rear wheel drive,10,8,,,0.3,3.6,274.5,3.1,326.8,420,6500,500,3350
911 Cabriolet (991 II),Carrera S 3.0 (420 Hp),2015,Cabriolet,4.5,306,140.9,2981,,,1510,64,4499,1808,1291,2450,Rear wheel drive,10,8,,,0.3,3.6,278.1,3,331.1,420,6500,500,3350
911 Cabriolet (991 II),Carrera 3.0 (370 Hp) PDK,2015,Cabriolet,4.6,290,124.1,2981,91,76.4,1520,64,4499,1808,1297,2450,Rear wheel drive,10,8,1541,1518,0.3,4.1,243.4,3.4,296.1,370,6500,450,3350
911 Cabriolet (991 II),Carrera 3.0 (370 Hp),2015,Cabriolet,4.8,292,124.1,2981,91,76.4,1500,64,4499,1808,1297,2450,Rear wheel drive,10,8,1541,1518,0.3,4.1,246.7,3.3,300,370,6500,450,3350
911 Targa (991 II),4S 3.0 (420 Hp) PDK,2015,Targa,4.2,301,140.9,2981,91,76.4,1600,67,4499,1852,1293,2450,All wheel drive (4x4),10,8,1543,1558,0.3,3.8,262.5,3.2,312.5,420,6500,500,3350
911 Targa (991 II),4S 3.0 (420 Hp),2015,Targa,4.4,303,140.9,2981,91,76.4,1580,68,4499,1852,1293,2450,All wheel drive (4x4),10,8,1543,1558,0.3,3.8,265.8,3.2,316.5,420,6500,500,3350
911 Targa (991 II),4 GTS 3.0 (450 Hp) PDK,2017,Targa,3.7,306,151,2981,91,76.4,1605,67,4528,1852,1291,2450,All wheel drive (4x4),10,8,1539,1544,0.32,3.6,280.4,2.9,342.7,450,6500,550,3575
911 Targa (991 II),4 GTS 3.0 (450 Hp),2017,Targa,4.1,308,151,2981,91,76.4,1585,67,4528,1852,1291,2450,All wheel drive (4x4),10,8,1539,1544,0.32,3.5,283.9,2.9,347,450,6500,550,3575
911 Targa (991 II),4 3.0 (370 Hp) PDK,2015,Targa,4.5,287,124.1,2981,91,76.4,1590,68,4499,1852,1288,2450,All wheel drive (4x4),10,8,1541,1558,0.3,4.3,232.7,3.5,283,370,6500,450,3350
911 Targa (991 II),4 3.0 (370 Hp),2015,Targa,4.7,289,124.1,2981,91,76.4,1570,68,4499,1852,1288,2450,All wheel drive (4x4),10,8,1541,1558,0.3,4.2,235.7,3.5,286.6,370,6500,450,3350
911 (991 II),Turbo S Exclusive 3.8 (607 Hp) PDK,2017,Coupe,2.9,330,159.7,3800,102,77.5,1600,68,4507,1880,1297,2450,All wheel drive (4x4),9.8,7.5,1541,1590,0.31,2.6,379.4,2.1,468.8,607,6750,750,3125
911 (991 II),Turbo S 3.8 (580 Hp) PDK,2015,Coupe,2.9,330,152.6,3800,102,77.5,1600,68,4507,1880,1297,2450,All wheel drive (4x4),9.8,7.5,1541,1590,0.31,2.8,362.5,2.1,468.8,580,6750,750,3125
911 (991 II),Turbo 3.8 (540 Hp) PDK,2015,Coupe,3,320,142.1,3800,102,77.5,1595,68,4507,1880,1297,2450,All wheel drive (4x4),9.8,7.5,1541,1590,0.31,3,338.6,2.2,445.1,540,6400,710,3125
911 (991 II),GT3 RS 4.0 (520 Hp) PDK,2018,Coupe,3.2,312,130.1,3996,,,1430,64,4557,1880,1297,2453,Rear wheel drive,13.3,7.5,1588,1557,,2.8,363.6,3,328.7,520,8250,470,6000
911 (991 II),GT3 4.0 (500 Hp) PDK,2017,Coupe,3.4,318,125.1,3996,102,81.5,1430,64,4562,1852,1271,2457,Rear wheel drive,13.3,6.8,1551,1555,0.33,2.9,349.7,3.1,321.7,500,8250,460,6000
911 (991 II),GT3 4.0 (500 Hp),2017,Coupe,3.9,320,125.1,3996,102,81.5,1413,64,4562,1852,1271,2457,Rear wheel drive,13.3,6.8,1551,1555,0.33,2.8,353.9,3.1,325.5,500,8250,460,6000
911 (991 II),GT2 RS 3.8 (700 Hp) PDK,2017,Coupe,2.8,340,184.2,3800,102,77.5,1470,64,4549,1880,1297,2453,Rear wheel drive,9,7.95,1588,1557,0.35,2.1,476.2,2,510.2,700,7000,750,3500
911 (991 II),Carrera GTS 3.0 (450 Hp) PDK,2017,Coupe,3.7,310,151,2981,91,76.4,1470,64,4528,1852,1284,2450,Rear wheel drive,10,8,1541,1544,0.31,3.3,306.1,2.7,374.1,450,6500,550,3575
911 (991 II),Carrera GTS 3.0 (450 Hp),2017,Coupe,4.1,312,151,2981,91,76.4,1450,64,4528,1852,1284,2450,Rear wheel drive,10,8,1541,1544,0.31,3.2,310.3,2.6,379.3,450,6500,550,3575
911 (991 II),Carrera 4 GTS 3.0 (450 Hp) PDK,2017,Coupe,3.6,308,151,2981,91,76.4,1515,67,4528,1852,1284,2450,All wheel drive (4x4),10,8,1541,1544,0.31,3.4,297,2.8,363,450,6500,550,3575
911 (991 II),Carrera 4 GTS 3.0 (450 Hp),2017,Coupe,4,310,151,2981,91,76.4,1495,67,4528,1852,1284,2450,All wheel drive (4x4),10,8,1541,1544,0.31,3.3,301,2.7,367.9,450,6500,550,3575
911 (991 II),Carrera S 3.0 (420 Hp) PDK,2015,Coupe,4.1,306,140.9,2981,91,76.4,1460,64,4499,1808,1302,2450,Rear wheel drive,10,8,1543,1518,0.3,3.5,287.7,2.9,342.5,420,6500,500,3350
911 (991 II),Carrera S 3.0 (420 Hp),2015,Coupe,4.3,308,140.9,2981,91,76.4,1440,64,4499,1808,1302,2450,Rear wheel drive,10,8,1543,1518,0.3,3.4,291.7,2.9,347.2,420,6500,500,3350
911 (991 II),Carrera 4S 3.0 (420 Hp) PDK,2015,Coupe,4,303,140.9,2981,91,76.4,1510,67,4499,1852,1298,2450,All wheel drive (4x4),10,8,1543,1558,0.3,3.6,278.1,3,331.1,420,6500,500,3350
911 (991 II),Carrera 4S 3.0 (420 Hp),2015,Coupe,4.2,305,140.9,2981,91,76.4,1490,68,4499,1852,1298,2450,All wheel drive (4x4),10,8,1543,1558,0.3,3.5,281.9,3,335.6,420,6500,500,3350
911 (991 II),Carrera T 3.0 (370 Hp) PDK,2017,Coupe,4.2,291,124.1,2981,,,1445,64,4527,1808,1285,2450,Rear wheel drive,10,8,,,0.31,3.9,256.1,3.2,311.4,370,6500,450,3350
911 (991 II),Carrera T 3.0 (370 Hp),2017,Coupe,4.5,293,124.1,2981,,,1425,64,4527,1808,1285,2450,Rear wheel drive,10,8,,,0.31,3.9,259.6,3.2,315.8,370,6500,450,3350
911 (991 II),Carrera 3.0 (370 Hp) PDK,2015,Coupe,4.4,293,124.1,2981,,,1450,64,4499,1808,1294,2450,Rear wheel drive,10,8,,,0.29,3.9,255.2,3.2,310.3,370,6500,450,3350
911 (991 II),Carrera 3.0 (370 Hp),2015,Coupe,4.6,295,124.1,2981,,,1430,64,4499,1808,1294,2450,Rear wheel drive,10,8,,,0.29,3.9,258.7,3.2,314.7,370,6500,450,3350
911 Targa (991),4S 3.8 (400 Hp) PDK,2014,Targa,4.4,294,105.3,3800,102,77.5,1575,68,4491,1852,1289,2450,All wheel drive (4x4),12.5,7.5,1538,1552,0.3,3.9,254,3.6,279.4,400,7400,440,5600
911 Targa (991),4S 3.8 (400 Hp),2014,Targa,4.8,296,105.3,3800,102,77.5,1555,68,4491,1852,1291,2450,All wheel drive (4x4),12.5,7.5,1538,1552,0.3,3.9,257.2,3.5,283,400,7400,440,5600
911 Targa (991),4 GTS 3.8 (430 Hp) PDK,2015,Targa,4.3,301,113.2,3800,102,77.5,1580,68,4509,1852,1291,2450,All wheel drive (4x4),12.5,7.5,1538,1560,0.3,3.7,272.2,3.6,278.5,430,7500,440,5750
911 Targa (991),4 GTS 3.8 (430 Hp),2015,Targa,4.7,303,113.2,3800,102,77.5,1560,68,4509,1852,1291,2450,All wheel drive (4x4),12.5,7.5,1538,1560,0.3,3.6,275.6,3.5,282.1,430,7500,440,5750
911 Targa (991),4 3.4 (350 Hp) PDK,2014,Targa,4.8,280,101.9,3436,97,77.5,1560,68,4491,1852,1298,2450,All wheel drive (4x4),12.5,7.5,1532,1560,0.29,4.5,224.4,4,250,350,7400,390,5600
911 Targa (991),4 3.4 (350 Hp),2014,Targa,5.2,282,101.9,3436,97,77.5,1540,68,4491,1852,1298,2450,All wheel drive (4x4),12.5,7.5,1532,1560,0.29,4.4,227.3,3.9,253.2,350,7400,390,5600
911 Cabriolet (991),Turbo S 3.8 (560 Hp) PDK,2013,Cabriolet,3.1,318,147.4,3800,102,77.5,1670,68,4506,1880,1295,2450,All wheel drive (4x4),9.8,7.5,1539,1590,0.31,3,335.3,2.4,419.2,560,6500,700,3175
911 Cabriolet (991),Turbo 3.8 (520 Hp) PDK,2013,Cabriolet,3.5,315,136.8,3800,102,77.5,1665,68,4506,1880,1292,2450,All wheel drive (4x4),9.8,7.5,1541,1590,0.31,3.2,312.3,2.5,396.4,520,6000,660,3475
911 Cabriolet (991),Carrera GTS 3.8 (430 Hp) PDK,2014,Cabriolet,4.2,302,113.2,3800,102,77.5,1515,64,4509,1852,1292,2450,Rear wheel drive,12.5,7.5,1538,1560,0.3,3.5,283.8,3.4,290.4,430,7500,440,5750
911 Cabriolet (991),Carrera GTS 3.8 (430 Hp),2014,Cabriolet,4.6,304,113.2,3800,102,77.5,1495,64,4509,1852,1292,2450,Rear wheel drive,12.5,7.5,1538,1560,0.3,3.5,287.6,3.4,294.3,430,7500,440,5750
911 Cabriolet (991),Carrera 4 GTS 3.8 (430 Hp) PDK,2014,Cabriolet,4.2,301,113.2,3800,102,77.5,1560,68,4509,1852,1294,2450,All wheel drive (4x4),12.5,7.5,1538,1560,0.3,3.6,275.6,3.5,282.1,430,7500,440,5750
911 Cabriolet (991),Carrera 4 GTS 3.8 (430 Hp),2014,Cabriolet,4.6,303,113.2,3800,102,77.5,1540,68,4509,1852,1294,2450,All wheel drive (4x4),12.5,7.5,1538,1560,0.3,3.6,279.2,3.5,285.7,430,7500,440,5750
911 Cabriolet (991),Carrera S 3.8 (400 Hp) PDK,2011,Cabriolet,4.3,299,105.3,3800,102,77.5,1505,64,4491,1808,1292,2450,Rear wheel drive,12.5,7.5,1538,1516,0.3,3.8,265.8,3.4,292.4,400,7400,440,5600
911 Cabriolet (991),Carrera S 3.8 (400 Hp),2011,Cabriolet,4.7,301,105.3,3800,102,77.5,1485,64,4491,1808,1292,2450,Rear wheel drive,12.5,7.5,1538,1516,0.3,3.7,269.4,3.4,296.3,400,7400,440,5600
911 Cabriolet (991),Carrera 4S 3.8 (400 Hp) PDK S,2012,Cabriolet,4.3,294,105.3,3800,102,77.5,1555,68,4491,1852,1293,2450,All wheel drive (4x4),12.5,7.5,1538,1552,0.31,3.9,257.2,3.5,283,400,7400,440,5600
911 Cabriolet (991),Carrera 4S 3.8 (400 Hp),2012,Cabriolet,4.7,296,105.3,3800,102,77.5,1535,68,4491,1852,1294,2450,All wheel drive (4x4),12.5,7.5,1538,1552,0.31,3.8,260.6,3.5,286.6,400,7400,440,5600
911 Cabriolet (991),Carrera 4 3.4 (350 Hp) PDK,2012,Cabriolet,4.7,280,101.9,3436,97,77.5,1540,68,4491,1852,1300,2450,All wheel drive (4x4),12.5,7.5,1532,1560,0.31,4.4,227.3,3.9,253.2,350,7400,390,5600
911 Cabriolet (991),Carrera 4 3.4 (350 Hp),2012,Cabriolet,5.1,282,101.9,3436,97,77.5,1520,68,4491,1852,1300,2450,All wheel drive (4x4),12.5,7.5,1532,1560,0.31,4.3,230.3,3.9,256.6,350,7400,390,5600
911 Cabriolet (991),Carrera 3.4 (350 Hp) PDK,2011,Cabriolet,4.6,284,101.9,3436,97,77.5,1490,64,4491,1808,1299,2450,Rear wheel drive,12.5,7.5,1532,1518,0.3,4.3,234.9,3.8,261.7,350,7400,390,5600
911 Cabriolet (991),Carrera 3.4 (350 Hp),2011,Cabriolet,5,286,101.9,3436,97,77.5,1470,64,4491,1808,1299,2450,Rear wheel drive,12.5,7.5,1532,1518,0.3,4.2,238.1,3.8,265.3,350,7400,390,5600
911 (991),Turbo S 3.8 (560 Hp) PDK,2013,Coupe,3.1,318,147.4,3800,102,77.5,1605,68,4506,1880,1296,2450,All wheel drive (4x4),9.8,7.5,1539,1590,0.31,2.9,348.9,2.3,436.1,560,6500,700,3175
911 (991),Turbo 3.8 (520 Hp) PDK,2013,Coupe,,312,,,,,1595,68,4506,1880,1295,2450,All wheel drive (4x4),9.8,7.5,,,0.31,3.1,326,2.4,413.8,520,6000,660,3475
911 (991),R 4.0 (500 Hp),2016,Coupe,3.8,323,125.1,3996,102,81.5,1370,64,4532,1852,1276,2475,Rear wheel drive,13.2,6.8,1551,1555,0.32,2.7,365,3,335.8,500,8250,460,6250
911 (991),GT3 RS 4.0 (500 Hp) PDK,2015,Coupe,3.3,310,125.1,3996,102,81.5,1420,64,4545,1880,1291,2457,Rear wheel drive,12.9,8,1587,1557,0.33,2.8,352.1,3.1,323.9,500,8250,460,6250
911 (991),GT3 3.8 (475 Hp) PDK,2013,Coupe,3.5,315,125,3799,102,77.5,1430,64,4545,1852,1269,2457,Rear wheel drive,12.9,7.5,1551,1555,0.33,3,332.2,3.3,307.7,475,8250,440,6250
911 (991),Carrera GTS 3.8 (430 Hp) PDK,2014,Coupe,4,304,113.2,3800,102,77.5,1445,64,4509,1852,1295,2450,Rear wheel drive,12.5,7.5,1538,1560,0.3,3.4,297.6,3.3,304.5,430,7500,440,5750
911 (991),Carrera GTS 3.8 (430 Hp),2014,Coupe,4.4,306,113.2,3800,102,77.5,1425,64,4509,1852,1295,2450,Rear wheel drive,12.5,7.5,1538,1560,0.3,3.3,301.8,3.2,308.8,430,7500,440,5750
911 (991),Carrera 4 GTS 3.8 (430 Hp) PDK,2014,Coupe,4,302,113.2,3800,102,77.5,1490,68,4509,1852,1296,2450,All wheel drive (4x4),12.5,7.5,1538,1560,0.3,3.5,288.6,3.4,295.3,430,7500,440,5750
911 (991),Carrera 4 GTS 3.8 (430 Hp),2014,Coupe,4.4,304,113.2,3800,102,77.5,1470,68,4509,1852,1296,2450,All wheel drive (4x4),12.5,7.5,1538,1560,0.3,3.4,292.5,3.3,299.3,430,7500,440,5750
911 (991),Carrera S 3.8 (400 Hp) PDK,2011,Coupe,4.1,302,105.3,3800,102,77.5,1435,64,4491,1808,1295,2450,Rear wheel drive,12.5,7.5,1538,1516,0.29,3.6,278.7,3.3,306.6,400,7400,440,5600
911 (991),Carrera S 3.8 (400 Hp),2011,Coupe,4.5,304,105.3,3800,102,77.5,1415,64,4491,1808,1295,2450,Rear wheel drive,12.5,7.5,1538,1516,0.29,3.5,282.7,3.2,311,400,7400,440,5600
911 (991),Carrera 4S 3.8 (400 Hp) PDK,2012,Coupe,4.1,297,105.3,3800,102,77.5,1485,68,4491,1852,1295,2450,All wheel drive (4x4),12.5,7.5,1538,1552,0.3,3.7,269.4,3.4,296.3,400,7400,440,5600
911 (991),Carrera 4S 3.8 (400 Hp),2012,Coupe,4.5,299,105.3,3800,102,77.5,1465,68,4491,1852,1296,2450,All wheel drive (4x4),12.5,7.5,1538,1552,0.3,3.7,273,3.3,300.3,400,7400,440,5600
911 (991),Carrera 4 3.4 (350 Hp) PDK,2012,Coupe,4.5,283,101.9,3436,97,77.5,1470,68,4491,1852,1304,2450,All wheel drive (4x4),12.5,7.5,1532,1560,0.3,4.2,238.1,3.8,265.3,350,7400,390,5600
911 (991),Carrera 4 3.4 (350 Hp),2012,Coupe,4.9,285,101.9,3436,97,77.5,1450,68,4491,1852,1304,2450,All wheel drive (4x4),12.5,7.5,1532,1560,0.3,4.1,241.4,3.7,269,350,7400,390,5600
911 (991),Carrera 3.4 (350 Hp) PDK,2011,Coupe,4.4,287,101.9,3436,97,77.5,1420,64,4491,1808,1303,2450,Rear wheel drive,12.5,7.5,1532,1518,0.29,4.1,246.5,3.6,274.6,350,7400,390,5600
911 (991),Carrera 3.4 (350 Hp),2011,Coupe,4.8,289,101.9,3436,97,77.5,1400,64,4491,1808,1303,2450,Rear wheel drive,12.5,7.5,1532,1518,0.29,3,250,3.6,278.6,350,7400,390,5600
"911 Cabriolet (997, facelift 2008)",Turbo S 3.8 (530 Hp) PDK,2010,Cabriolet,3.4,315,139.5,3800,,,1660,67,4450,1852,1300,2350,All wheel drive (4x4),,8,,,0.32,3.1,319.3,2.4,421.7,530,6250,700,3175
"911 Cabriolet (997, facelift 2008)",Turbo 3.8 (500 Hp) PDK,2009,Cabriolet,3.5-3.7,312,131.6,3800,,,1670,67,4450,1852,1300,2350,All wheel drive (4x4),9.8,8,,,0.32,3.3,299.4,2.6,389.2,500,6000,650,3475
"911 Cabriolet (997, facelift 2008)",Turbo 3.8 (500 Hp),2009,Cabriolet,3.8,312,131.6,3800,,,1645,67,4450,1852,1300,2350,All wheel drive (4x4),9.8,8,,,0.32,3.3,304,2.5,395.1,500,6000,650,3475
"911 Cabriolet (997, facelift 2008)",Carrera GTS 3.8 (408 Hp) PDK,2010,Cabriolet,4.6,340,107.4,3800,,,1545,67,4435,1852,1300,2350,Rear wheel drive,,7.5,,,0.31,3.8,264.1,3.7,271.8,408,7300,420,4200
"911 Cabriolet (997, facelift 2008)",Carrera GTS 3.8 (408 Hp),2010,Cabriolet,4.8,306,107.4,3800,,,1515,67,4435,1852,1300,2350,Rear wheel drive,,7.5,,,0.31,3.7,269.3,3.6,277.2,408,7300,420,4200
"911 Cabriolet (997, facelift 2008)",Carrera 4 GTS 3.8 (408 Hp) PDK,2010,Cabriolet,4.4-4.6,300,107.4,3800,,,1595,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.31,3.9,255.8,3.8,263.3,408,7300,420,4200
"911 Cabriolet (997, facelift 2008)",Carrera 4 GTS 3.8 (408 Hp),2010,Cabriolet,4.8,302,107.4,3800,,,1565,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.31,3.8,260.7,3.7,268.4,408,7300,420,4200
"911 Cabriolet (997, facelift 2008)",Carrera S 3.8 (385 Hp) PDK,2008,Cabriolet,4.7,300,101.3,3800,,,1540,64,4435,1808,1300,2350,Rear wheel drive,12.5,7.5,,,0.31,3,250,3.7,272.7,385,6500,420,4400
"911 Cabriolet (997, facelift 2008)",Carrera S 3.8 (385 Hp),2008,Cabriolet,4.9,302,101.3,3800,,,1510,64,4435,1808,1300,2350,Rear wheel drive,12.5,7.5,,,0.3,3.9,255,3.6,278.1,385,6500,420,4400
"911 Cabriolet (997, facelift 2008)",Carrera 4S 3.8 (385 Hp) PDK,2008,Cabriolet,4.5-4.7,295,101.3,3800,,,1595,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.31,4.1,241.4,3.8,263.3,385,6500,420,4200
"911 Cabriolet (997, facelift 2008)",Carrera 4S 3.8 (385 Hp),2008,Cabriolet,4.9,297,101.3,3800,,,1565,67,4435,1852,1300,2350,All wheel drive (4x4),12.5,7.5,,,0.3,4.1,246,3.7,268.4,385,6500,420,4200
"911 Cabriolet (997, facelift 2008)",Carrera 4 3.6 (345 Hp) PDK,2008,Cabriolet,5,282,95.5,3614,,,1585,67,4435,1852,1310,2350,All wheel drive (4x4),12.5,7.5,,,0.3,4.6,217.7,4.1,246.1,345,6500,390,4400
"911 Cabriolet (997, facelift 2008)",Carrera 4 3.6 (345 Hp),2008,Cabriolet,5.2,284,95.5,3614,,,1555,67,4435,1852,1310,2350,All wheel drive (4x4),12.5,7.5,,,0.3,4.5,221.9,4,250.8,345,6500,390,4400
"911 Cabriolet (997, facelift 2008)",Carrera 3.6 (345 Hp) PDK,2008,Cabriolet,4.9,287,95.5,3614,,,1530,64,4435,1808,1310,2350,Rear wheel drive,12.5,7.5,,,0.3,4.4,225.5,3.9,254.9,345,6500,390,4400
"911 Cabriolet (997, facelift 2008)",Carrera 3.6 (345 Hp),2008,Cabriolet,5.1,289,95.5,3614,,,1500,64,4435,1808,1310,2350,Rear wheel drive,12.5,7.5,,,0.3,4.3,230,3.8,260,345,6500,390,4400
